ID,sentence1,sentence2,manual_similarity
1,பலகையில் ஒருவர் சைக்கிள் சாகசம் புரிகிறார்,சைக்கிளில் ஒரு நபர் தாண்டி குதிக்கிறார்,0.60
2,பலகையில் ஒருவர் சைக்கிள் சாகசம் புரிகிறார்,ஒருவர் ஈருருளியில் பயணிக்கின்றார்,0.60
3,பலகையில் ஒருவர் சைக்கிள் சாகசம் புரிகிறார்,ஒருவர் சறுக்கீசில் துவிச்சக்கர வண்டியை மேல் நோக்கி செலுதட்துகின்றார்.,0.40
4,பலகையில் ஒருவர் சைக்கிள் சாகசம் புரிகிறார்,சிறிய மரப்பலகை ஊடாக ஈருருளியை செலுத்துகின்றார்,0.60
5,பலகையில் ஒருவர் சைக்கிள் சாகசம் புரிகிறார்,பலகையில் துவிச்சக்கரவண்டியை செலுத்துகிறார்.,1.00
6,பலகையில் ஒருவர் சைக்கிள் சாகசம் புரிகிறார்,பையன் ஒருவன் அந்தரத்தில் மிதி வண்டி ஓடுகின்றான்,0.20
7,பலகையில் ஒருவர் சைக்கிள் சாகசம் புரிகிறார்,துவிச்சக்கரவண்டி பெருந்தெருவில் இருந்து சாய்தளத்தில் ஏறுகின்றது.,0.53
8,பலகையில் ஒருவர் சைக்கிள் சாகசம் புரிகிறார்,இது ஒரு மாயையான புகைப்படம்.,0.00
9,சைக்கிளில் ஒரு நபர் தாண்டி குதிக்கிறார்,ஒருவர் ஈருருளியில் பயணிக்கின்றார்,0.33
10,சைக்கிளில் ஒரு நபர் தாண்டி குதிக்கிறார்,ஒருவர் சறுக்கீசில் துவிச்சக்கர வண்டியை மேல் நோக்கி செலுதட்துகின்றார்.,0.33
11,சைக்கிளில் ஒரு நபர் தாண்டி குதிக்கிறார்,சிறிய மரப்பலகை ஊடாக ஈருருளியை செலுத்துகின்றார்,0.33
12,சைக்கிளில் ஒரு நபர் தாண்டி குதிக்கிறார்,பலகையில் துவிச்சக்கரவண்டியை செலுத்துகிறார்.,0.13
13,சைக்கிளில் ஒரு நபர் தாண்டி குதிக்கிறார்,பையன் ஒருவன் அந்தரத்தில் மிதி வண்டி ஓடுகின்றான்,0.27
14,சைக்கிளில் ஒரு நபர் தாண்டி குதிக்கிறார்,துவிச்சக்கரவண்டி பெருந்தெருவில் இருந்து சாய்தளத்தில் ஏறுகின்றது.,0.07
15,சைக்கிளில் ஒரு நபர் தாண்டி குதிக்கிறார்,இது ஒரு மாயையான புகைப்படம்.,0.00
16,ஒருவர் ஈருருளியில் பயணிக்கின்றார்,ஒருவர் சறுக்கீசில் துவிச்சக்கர வண்டியை மேல் நோக்கி செலுதட்துகின்றார்.,0.47
17,ஒருவர் ஈருருளியில் பயணிக்கின்றார்,சிறிய மரப்பலகை ஊடாக ஈருருளியை செலுத்துகின்றார்,0.53
18,ஒருவர் ஈருருளியில் பயணிக்கின்றார்,பலகையில் துவிச்சக்கரவண்டியை செலுத்துகிறார்.,0.60
19,ஒருவர் ஈருருளியில் பயணிக்கின்றார்,பையன் ஒருவன் அந்தரத்தில் மிதி வண்டி ஓடுகின்றான்,0.33
20,ஒருவர் ஈருருளியில் பயணிக்கின்றார்,துவிச்சக்கரவண்டி பெருந்தெருவில் இருந்து சாய்தளத்தில் ஏறுகின்றது.,0.40
21,ஒருவர் ஈருருளியில் பயணிக்கின்றார்,இது ஒரு மாயையான புகைப்படம்.,0.00
22,ஒருவர் சறுக்கீசில் துவிச்சக்கர வண்டியை மேல் நோக்கி செலுதட்துகின்றார்.,சிறிய மரப்பலகை ஊடாக ஈருருளியை செலுத்துகின்றார்,0.47
