ID,Sentence 1,Sentence 2,Manual Similarity
1,பலகையில் ஒருவர் சைக்கிள் சாகசம் புரிகிறார்,சைக்கிளில் ஒரு நபர் தாண்டி குதிக்கிறார்,3
2,பலகையில் ஒருவர் சைக்கிள் சாகசம் புரிகிறார்,ஒருவர் ஈருருளியில் பயணிக்கின்றார்,3
3,பலகையில் ஒருவர் சைக்கிள் சாகசம் புரிகிறார்,ஒருவர் சறுக்கீசில் துவிச்சக்கர வண்டியை மேல் நோக்கி செலுதட்துகின்றார்.,2
4,பலகையில் ஒருவர் சைக்கிள் சாகசம் புரிகிறார்,சிறிய மரப்பலகை ஊடாக ஈருருளியை செலுத்துகின்றார்,3
5,பலகையில் ஒருவர் சைக்கிள் சாகசம் புரிகிறார்,பலகையில் துவிச்சக்கரவண்டியை செலுத்துகிறார்.,5
6,பலகையில் ஒருவர் சைக்கிள் சாகசம் புரிகிறார்,பையன் ஒருவன் அந்தரத்தில் மிதி வண்டி ஓடுகின்றான்,1
7,பலகையில் ஒருவர் சைக்கிள் சாகசம் புரிகிறார்,துவிச்சக்கரவண்டி பெருந்தெருவில் இருந்து சாய்தளத்தில் ஏறுகின்றது.,2.666666667
8,பலகையில் ஒருவர் சைக்கிள் சாகசம் புரிகிறார்,இது ஒரு மாயையான புகைப்படம்.,0
9,சைக்கிளில் ஒரு நபர் தாண்டி குதிக்கிறார்,ஒருவர் ஈருருளியில் பயணிக்கின்றார்,1.666666667
10,சைக்கிளில் ஒரு நபர் தாண்டி குதிக்கிறார்,ஒருவர் சறுக்கீசில் துவிச்சக்கர வண்டியை மேல் நோக்கி செலுதட்துகின்றார்.,1.666666667
11,சைக்கிளில் ஒரு நபர் தாண்டி குதிக்கிறார்,சிறிய மரப்பலகை ஊடாக ஈருருளியை செலுத்துகின்றார்,1.666666667
12,சைக்கிளில் ஒரு நபர் தாண்டி குதிக்கிறார்,பலகையில் துவிச்சக்கரவண்டியை செலுத்துகிறார்.,0.666666667
13,சைக்கிளில் ஒரு நபர் தாண்டி குதிக்கிறார்,பையன் ஒருவன் அந்தரத்தில் மிதி வண்டி ஓடுகின்றான்,1.333333333
14,சைக்கிளில் ஒரு நபர் தாண்டி குதிக்கிறார்,துவிச்சக்கரவண்டி பெருந்தெருவில் இருந்து சாய்தளத்தில் ஏறுகின்றது.,0.333333333
15,சைக்கிளில் ஒரு நபர் தாண்டி குதிக்கிறார்,இது ஒரு மாயையான புகைப்படம்.,0
16,ஒருவர் ஈருருளியில் பயணிக்கின்றார்,ஒருவர் சறுக்கீசில் துவிச்சக்கர வண்டியை மேல் நோக்கி செலுதட்துகின்றார்.,2.333333333
17,ஒருவர் ஈருருளியில் பயணிக்கின்றார்,சிறிய மரப்பலகை ஊடாக ஈருருளியை செலுத்துகின்றார்,2.666666667
18,ஒருவர் ஈருருளியில் பயணிக்கின்றார்,பலகையில் துவிச்சக்கரவண்டியை செலுத்துகிறார்.,3
19,ஒருவர் ஈருருளியில் பயணிக்கின்றார்,பையன் ஒருவன் அந்தரத்தில் மிதி வண்டி ஓடுகின்றான்,1.666666667
20,ஒருவர் ஈருருளியில் பயணிக்கின்றார்,துவிச்சக்கரவண்டி பெருந்தெருவில் இருந்து சாய்தளத்தில் ஏறுகின்றது.,2
21,ஒருவர் ஈருருளியில் பயணிக்கின்றார்,இது ஒரு மாயையான புகைப்படம்.,0
22,ஒருவர் சறுக்கீசில் துவிச்சக்கர வண்டியை மேல் நோக்கி செலுதட்துகின்றார்.,சிறிய மரப்பலகை ஊடாக ஈருருளியை செலுத்துகின்றார்,2.333333333
23,ஒருவர் சறுக்கீசில் துவிச்சக்கர வண்டியை மேல் நோக்கி செலுதட்துகின்றார்.,பலகையில் துவிச்சக்கரவண்டியை செலுத்துகிறார்.,1.666666667
24,ஒருவர் சறுக்கீசில் துவிச்சக்கர வண்டியை மேல் நோக்கி செலுதட்துகின்றார்.,பையன் ஒருவன் அந்தரத்தில் மிதி வண்டி ஓடுகின்றான்,0.666666667
